Arquivo de LOG (Fri Aug 24 02:24:27 BST 2007)
Nome do Sistema: MobilePhotoOO
Numero de Componentes (VS): 25
Component ; LCOOM ; CBC ; DIT ; NOA ; NOO ; LOC ; NOC ; WOC
NullAlbumDataReference ; 0 ; 0 ; 2 ; 1 ; 4 ; 14 ; 0 ; 6
InvalidPhotoAlbumNameException ; 0 ; 0 ; 2 ; 0 ; 2 ; 7 ; 0 ; 3
PhotoViewScreen ; 0 ; 0 ; 2 ; 4 ; 4 ; 35 ; 0 ; 8
InvalidArrayFormatException ; 0 ; 0 ; 3 ; 0 ; 3 ; 11 ; 0 ; 5
ImageUtil ; 0 ; 0 ; 1 ; 1 ; 4 ; 104 ; 0 ; 7
InvalidImageFormatException ; 0 ; 0 ; 3 ; 0 ; 3 ; 10 ; 0 ; 5
BaseThread ; 0 ; 0 ; 1 ; 0 ; 2 ; 9 ; 0 ; 2
BaseController ; 0 ; 0 ; 1 ; 7 ; 22 ; 359 ; 0 ; 45
PersistenceMechanismException ; 0 ; 0 ; 2 ; 1 ; 4 ; 14 ; 0 ; 6
MainUIMidlet ; 0 ; 0 ; 2 ; 2 ; 4 ; 16 ; 0 ; 5
UnavailablePhotoAlbumException ; 0 ; 0 ; 2 ; 1 ; 4 ; 14 ; 0 ; 6
Constants ; 0 ; 0 ; 1 ; 8 ; 0 ; 10 ; 0 ; 0
ImagePathNotValidException ; 0 ; 0 ; 3 ; 1 ; 4 ; 14 ; 0 ; 6
InvalidImageDataException ; 0 ; 0 ; 2 ; 1 ; 4 ; 15 ; 3 ; 6
AddPhotoToAlbum ; 0 ; 0 ; 2 ; 4 ; 3 ; 21 ; 0 ; 4
ImageNotFoundException ; 0 ; 0 ; 2 ; 1 ; 4 ; 14 ; 0 ; 6
NewLabelScreen ; 0 ; 0 ; 2 ; 6 ; 5 ; 29 ; 0 ; 10
AlbumListScreen ; 0 ; 0 ; 2 ; 5 ; 6 ; 37 ; 0 ; 13
PhotoController ; 0 ; 0 ; 1 ; 3 ; 8 ; 43 ; 0 ; 16
PhotoListScreen ; 0 ; 0 ; 2 ; 6 ; 2 ; 19 ; 0 ; 2
AlbumData ; 0 ; 0 ; 1 ; 3 ; 13 ; 78 ; 0 ; 25
ControllerInterface ; 0 ; 0 ; 1 ; 0 ; 2 ; 4 ; 1 ; 6
ImageAccessor ; 0 ; 0 ; 1 ; 8 ; 14 ; 244 ; 0 ; 34
SplashScreen ; 0 ; 0 ; 2 ; 3 ; 7 ; 30 ; 0 ; 13
ImageData ; 0 ; 0 ; 1 ; 5 ; 12 ; 46 ; 0 ; 20
