Arquivo de LOG (Fri Aug 24 02:24:44 BST 2007)
Nome do Sistema: MobilePhotoOO
Numero de Componentes (VS): 30
Component ; LCOOM ; CBC ; DIT ; NOA ; NOO ; LOC ; NOC ; WOC
NullAlbumDataReference ; 0 ; 0 ; 2 ; 1 ; 4 ; 14 ; 0 ; 6
InvalidPhotoAlbumNameException ; 0 ; 0 ; 2 ; 0 ; 2 ; 7 ; 0 ; 3
PhotoViewScreen ; 0 ; 0 ; 2 ; 5 ; 4 ; 37 ; 0 ; 8
InvalidArrayFormatException ; 0 ; 0 ; 3 ; 0 ; 3 ; 11 ; 0 ; 5
ImageUtil ; 0 ; 0 ; 1 ; 1 ; 4 ; 113 ; 0 ; 7
InvalidImageFormatException ; 0 ; 0 ; 3 ; 0 ; 3 ; 10 ; 0 ; 5
BaseThread ; 0 ; 0 ; 1 ; 0 ; 2 ; 9 ; 0 ; 2
PhotoListController ; 0 ; 0 ; 2 ; 0 ; 5 ; 64 ; 1 ; 16
AbstractController ; 0 ; 0 ; 1 ; 4 ; 13 ; 56 ; 4 ; 25
PersistenceMechanismException ; 0 ; 0 ; 2 ; 1 ; 4 ; 14 ; 0 ; 6
PhotoController ; 0 ; 0 ; 3 ; 2 ; 10 ; 198 ; 0 ; 18
ControllerInterface ; 0 ; 0 ; 1 ; 0 ; 2 ; 4 ; 1 ; 4
ScreenSingleton ; 0 ; 0 ; 1 ; 3 ; 6 ; 23 ; 0 ; 8
UnavailablePhotoAlbumException ; 0 ; 0 ; 2 ; 1 ; 4 ; 14 ; 0 ; 6
Constants ; 0 ; 0 ; 1 ; 8 ; 0 ; 10 ; 0 ; 0
ImagePathNotValidException ; 0 ; 0 ; 3 ; 1 ; 4 ; 14 ; 0 ; 6
MainUIMidlet ; 0 ; 0 ; 2 ; 2 ; 4 ; 22 ; 0 ; 5
InvalidImageDataException ; 0 ; 0 ; 2 ; 1 ; 4 ; 15 ; 3 ; 6
AddPhotoToAlbum ; 0 ; 0 ; 2 ; 4 ; 5 ; 27 ; 0 ; 8
ImageNotFoundException ; 0 ; 0 ; 2 ; 1 ; 4 ; 14 ; 0 ; 6
NewLabelScreen ; 0 ; 0 ; 2 ; 6 ; 5 ; 29 ; 0 ; 10
AlbumListScreen ; 0 ; 0 ; 2 ; 5 ; 6 ; 37 ; 0 ; 13
PhotoViewController ; 0 ; 0 ; 2 ; 1 ; 2 ; 54 ; 0 ; 7
PhotoListScreen ; 0 ; 0 ; 2 ; 8 ; 2 ; 23 ; 0 ; 2
AlbumData ; 0 ; 0 ; 1 ; 3 ; 13 ; 78 ; 0 ; 25
AlbumController ; 0 ; 0 ; 2 ; 0 ; 4 ; 102 ; 0 ; 8
ImageAccessor ; 0 ; 0 ; 1 ; 8 ; 15 ; 261 ; 0 ; 38
BaseController ; 0 ; 0 ; 2 ; 0 ; 4 ; 41 ; 0 ; 9
SplashScreen ; 0 ; 0 ; 2 ; 3 ; 7 ; 30 ; 0 ; 13
ImageData ; 0 ; 0 ; 1 ; 6 ; 15 ; 56 ; 0 ; 24
