Nome do Sistema: MobilePhotoOO								
Numero de Componentes (VS): 46								
Component 	 LCOOM 	 CBC 	 DIT 	 NOA 	 NOO 	 LOC 	 NOC 	 WOC
AbstractController 	0	0	1	4	13	56	8	25
AddMediaToAlbum 	0	0	2	6	8	39	0	12
AlbumController 	0	0	2	0	4	102	0	8
AlbumData 	0	0	1	1	13	61	2	32
AlbumListScreen 	0	0	2	6	4	32	0	5
BaseController 	0	0	2	0	4	49	0	9
BaseMessaging 	0	0	1	0	3	5	1	5
BaseThread 	0	0	1	0	2	9	0	2
Constants 	0	0	1	8	0	10	0	0
ControllerInterface 	0	0	1	0	2	4	1	4
ImageAlbumData 	0	0	2	0	2	13	0	4
ImageMediaAccessor 	0	0	2	1	8	90	0	17
ImageNotFoundException 	0	0	2	1	4	14	0	6
ImagePathNotValidException 	0	0	3	1	4	14	0	6
InvalidArrayFormatException 	0	0	3	0	3	11	0	5
InvalidImageDataException 	0	0	2	1	4	15	3	6
InvalidImageFormatException 	0	0	3	0	3	10	0	5
InvalidPhotoAlbumNameException 	0	0	2	0	2	7	0	3
MainUIMidlet 	0	0	2	4	4	45	0	5
MediaAccessor 	0	0	1	7	20	229	2	47
MediaController 	0	0	3	2	12	263	0	22
MediaData 	0	0	1	6	15	56	1	24
MediaListController 	0	0	2	0	5	68	1	16
MediaListScreen 	0	0	2	12	2	31	0	3
MediaUtil 	0	0	1	2	3	111	1	6
MultiMediaData 	0	0	2	1	4	21	0	11
MusicAlbumData 	0	0	2	0	2	13	0	4
MusicMediaAccessor 	0	0	2	1	5	76	0	8
MusicMediaUtil 	0	0	2	0	2	32	0	4
MusicPlayController 	0	0	2	2	4	72	0	10
NetworkScreen 	0	0	2	4	4	24	0	7
NewLabelScreen 	0	0	2	6	5	29	0	10
PersistenceMechanismException 	0	0	2	1	4	14	0	6
PhotoViewController 	0	0	2	1	2	67	0	7
PhotoViewScreen 	0	0	2	7	5	32	0	8
PlayMediaScreen 	0	0	2	12	5	79	0	11
ScreenSingleton 	0	0	1	4	8	30	0	11
SelectMediaController 	0	0	2	4	2	27	0	9
SelectTypeOfMedia 	0	0	2	2	6	28	0	12
SmsMessaging 	0	0	2	7	12	112	0	19
SmsReceiverController 	0	0	2	1	3	35	0	8
SmsReceiverThread 	0	0	1	9	2	55	0	6
SmsSenderController 	0	0	2	2	2	46	0	7
SmsSenderThread 	0	0	1	4	7	34	0	13
SplashScreen 	0	0	2	3	7	30	0	13
UnavailablePhotoAlbumException 	0	0	2	1	4	14	0	6
