Arquivo de LOG (Tue Sep 04 23:28:47 BST 2007)
Nome do Sistema: MobilePhotoAO
Numero de Componentes (VS): 51
Component ; LCOOM ; CBC ; DIT ; NOA ; NOO ; LOC ; NOC ; WOC
PersistenceMechanismException ; 0 ; 0 ; 2 ; 1 ; 4 ; 14 ; 0 ; 6
ImageNotFoundException ; 0 ; 0 ; 2 ; 1 ; 4 ; 14 ; 0 ; 6
MultiMediaData ; 0 ; 0 ; 2 ; 1 ; 3 ; 16 ; 0 ; 6
MusicMediaUtil ; 0 ; 0 ; 2 ; 0 ; 2 ; 32 ; 0 ; 4
InvalidPhotoAlbumNameException ; 0 ; 0 ; 2 ; 0 ; 2 ; 7 ; 0 ; 3
ImagePathNotValidException ; 0 ; 0 ; 3 ; 1 ; 4 ; 14 ; 0 ; 6
ImageAlbumData ; 0 ; 0 ; 2 ; 0 ; 2 ; 13 ; 0 ; 4
MediaUtil ; 0 ; 0 ; 1 ; 2 ; 3 ; 111 ; 1 ; 6
PlayVideoScreen ; 0 ; 0 ; 2 ; 9 ; 6 ; 78 ; 0 ; 12
SelectTypeOfMedia ; 0 ; 0 ; 2 ; 2 ; 4 ; 23 ; 0 ; 4
SmsReceiverThread ; 0 ; 0 ; 1 ; 9 ; 2 ; 55 ; 0 ; 6
SmsReceiverController ; 0 ; 0 ; 2 ; 1 ; 3 ; 35 ; 0 ; 8
PhotoViewController ; 0 ; 0 ; 2 ; 2 ; 4 ; 89 ; 0 ; 10
MusicMediaAccessor ; 0 ; 0 ; 2 ; 1 ; 6 ; 58 ; 1 ; 14
InvalidImageFormatException ; 0 ; 0 ; 3 ; 0 ; 3 ; 10 ; 0 ; 5
MediaListScreen ; 0 ; 0 ; 2 ; 16 ; 2 ; 44 ; 0 ; 3
MediaController ; 0 ; 0 ; 3 ; 2 ; 13 ; 310 ; 0 ; 24
NetworkScreen ; 0 ; 0 ; 2 ; 4 ; 3 ; 21 ; 0 ; 4
MediaListController ; 0 ; 0 ; 2 ; 0 ; 5 ; 70 ; 1 ; 16
AbstractController ; 0 ; 0 ; 1 ; 4 ; 13 ; 56 ; 10 ; 25
AddMediaToAlbum ; 0 ; 0 ; 2 ; 6 ; 8 ; 39 ; 0 ; 12
BaseController ; 0 ; 0 ; 2 ; 0 ; 4 ; 49 ; 0 ; 9
ControllerInterface ; 0 ; 0 ; 1 ; 0 ; 2 ; 4 ; 1 ; 4
MainUIMidlet ; 0 ; 0 ; 2 ; 6 ; 4 ; 68 ; 0 ; 5
BaseThread ; 0 ; 0 ; 1 ; 0 ; 2 ; 9 ; 0 ; 2
ScreenSingleton ; 0 ; 0 ; 1 ; 4 ; 8 ; 30 ; 0 ; 11
Constants ; 0 ; 0 ; 1 ; 8 ; 0 ; 10 ; 0 ; 0
SmsMessaging ; 0 ; 0 ; 2 ; 7 ; 12 ; 115 ; 0 ; 19
VideoAlbumData ; 0 ; 0 ; 2 ; 0 ; 2 ; 13 ; 0 ; 4
MediaAccessor ; 0 ; 0 ; 1 ; 7 ; 21 ; 251 ; 2 ; 48
InvalidImageDataException ; 0 ; 0 ; 2 ; 1 ; 4 ; 15 ; 3 ; 6
PlayVideoController ; 0 ; 0 ; 2 ; 2 ; 4 ; 72 ; 0 ; 10
MediaData ; 0 ; 0 ; 1 ; 6 ; 15 ; 56 ; 1 ; 24
InvalidArrayFormatException ; 0 ; 0 ; 3 ; 0 ; 3 ; 11 ; 0 ; 5
SelectMediaController ; 0 ; 0 ; 2 ; 6 ; 14 ; 62 ; 0 ; 24
VideoMediaAccessor ; 0 ; 0 ; 3 ; 0 ; 4 ; 39 ; 0 ; 9
SmsSenderThread ; 0 ; 0 ; 1 ; 4 ; 7 ; 34 ; 0 ; 13
NewLabelScreen ; 0 ; 0 ; 2 ; 6 ; 4 ; 26 ; 0 ; 7
AlbumListScreen ; 0 ; 0 ; 2 ; 6 ; 4 ; 32 ; 0 ; 5
AlbumData ; 0 ; 0 ; 1 ; 1 ; 14 ; 68 ; 3 ; 36
MusicPlayController ; 0 ; 0 ; 2 ; 2 ; 4 ; 72 ; 0 ; 10
CaptureVideoScreen ; 0 ; 0 ; 2 ; 13 ; 8 ; 110 ; 0 ; 12
UnavailablePhotoAlbumException ; 0 ; 0 ; 2 ; 1 ; 4 ; 14 ; 0 ; 6
MusicAlbumData ; 0 ; 0 ; 2 ; 0 ; 2 ; 13 ; 0 ; 4
BaseMessaging ; 0 ; 0 ; 1 ; 0 ; 3 ; 5 ; 1 ; 5
PhotoViewScreen ; 0 ; 0 ; 2 ; 8 ; 6 ; 36 ; 0 ; 10
PlayMediaScreen ; 0 ; 0 ; 2 ; 12 ; 5 ; 77 ; 0 ; 11
AlbumController ; 0 ; 0 ; 2 ; 0 ; 4 ; 102 ; 0 ; 8
VideoCaptureController ; 0 ; 0 ; 2 ; 2 ; 2 ; 44 ; 0 ; 7
ImageMediaAccessor ; 0 ; 0 ; 2 ; 1 ; 7 ; 53 ; 0 ; 16
SmsSenderController ; 0 ; 0 ; 2 ; 2 ; 2 ; 46 ; 0 ; 7
